rd,km,lat,lon
2,0,14.52,100.915
2,0,14.52,100.915
2,1,14.521,100.924
2,2,14.524,100.932
2,3,14.53,100.939
2,3,14.53,100.939
2,4,14.535,100.947
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,5,14.541,100.954
2,6,14.548,100.961
2,6,14.548,100.961
2,7,14.555,100.968
2,7,14.555,100.968
2,7,14.555,100.968
2,7,14.555,100.968
2,8,14.562,100.974
2,8,14.562,100.974
2,9,14.569,100.98
2,10,14.574,100.988
2,10,14.574,100.988
2,10,14.574,100.988
2,11,14.577,100.997
2,11,14.577,100.997
2,12,14.581,101.006
2,12,14.581,101.006
2,12,14.581,101.006
2,12,14.581,101.006
2,13,14.585,101.015
2,13,14.585,101.015
2,14,14.589,101.023
2,14,14.589,101.023
2,14,14.589,101.023
2,14,14.589,101.023
2,15,14.593,101.032
2,15,14.593,101.032
2,15,14.593,101.032
2,16,14.596,101.041
2,16,14.596,101.041
2,17,14.6,101.049
2,18,14.604,101.058
2,19,14.608,101.067
2,19,14.608,101.067
2,19,14.608,101.067
2,19,14.608,101.067
2,20,14.611,101.075
2,21,14.616,101.083
2,21,14.616,101.083
2,21,14.616,101.083
2,22,14.622,101.091
2,23,14.625,101.1
2,24,14.633,101.106
2,25,14.636,101.114
2,26,14.638,101.124
2,27,14.639,101.133
2,28,14.638,101.142
2,29,14.638,101.151
2,30,14.639,101.16
2,31,14.634,101.168
2,32,14.628,101.174
2,33,14.63,101.183
2,34,14.634,101.191
2,35,14.636,101.2
2,36,14.635,101.209
2,37,14.632,101.218
2,38,14.631,101.227
2,39,14.633,101.236
2,39,14.633,101.236
2,40,14.635,101.245
2,41,14.636,101.254
2,42,14.638,101.263
2,43,14.64,101.272
2,44,14.642,101.281
2,45,14.644,101.29
2,46,14.646,101.299
2,47,14.651,101.306
2,48,14.654,101.315
2,49,14.656,101.324
2,50,14.659,101.333
2,51,14.658,101.342
2,52,14.654,101.35
2,53,14.652,101.359
2,54,14.656,101.367
2,55,14.658,101.376
2,56,14.659,101.385
2,56,14.659,101.385
2,57,14.661,101.394
2,58,14.662,101.403
2,59,14.664,101.412
2,60,14.665,101.421
2,61,14.666,101.43
2,62,14.668,101.44
2,63,14.669,101.449
2,64,14.675,101.456
