rd,km,lat,lon
1,19,13.8791757898,100.598831609
1,25,13.926152363499998,100.626454733
1,26,13.9350663122,100.625095419
1,27,13.9439724644,100.623482627
1,28,13.9528937772,100.621930032
1,29,13.9616645525,100.620292857
1,29,13.9616645525,100.620292857
1,30,13.9705909772,100.618676086
1,30,13.9705909772,100.618676086
1,31,13.9795291924,100.617066058
1,31,13.9795291924,100.617066058
1,32,13.9884783881,100.61560885
1,32,13.9884783881,100.61560885
1,32,13.9884783881,100.61560885
1,33,13.9974785847,100.614827526
1,33,13.9974785847,100.614827526
1,34,14.0065549517,100.615124745
1,34,14.0065549517,100.615124745
1,35,14.01562708,100.615424814
1,36,14.0247043158,100.615733603
1,37,14.0337809079,100.616067414
1,38,14.0428519514,100.616479316
1,39,14.0519262179,100.616843561
1,39,14.0519262179,100.616843561
1,39,14.0519262179,100.616843561
1,39,14.0519262179,100.616843561
1,40,14.0609448747,100.617211373
1,41,14.0699644836,100.61755922
1,42,14.0789846358,100.617900558
1,43,14.0880048223,100.618238301
1,44,14.0970259456,100.618554665
1,45,14.1060503403,100.618666007
1,46,14.1150757287,100.618583776
1,47,14.124100909,100.6185016
1,48,14.133127502,100.618425552
1,49,14.1421540702,100.618346031
1,50,14.1511806497,100.618272036
1,51,14.1602072096,100.618191998
1,52,14.1692640552,100.618119957
1,53,14.178318307,100.618970842
1,54,14.1839396472,100.626004063
1,55,14.1882856735,100.634107012
1,55,14.1882856735,100.634107012
1,56,14.192631244,100.642206643
1,57,14.1969649187,100.650316198
1,58,14.201304516,100.658422576
1,59,14.2056414547,100.666530249
1,60,14.2099761759,100.674639075
1,61,14.214305701,100.682750293
1,62,14.2186298935,100.6908649
1,63,14.2229603963,100.698976025
1,64,14.2272816235,100.707092219
1,65,14.2316021768,100.715208761
1,66,14.2356817711,100.72344507
1,67,14.2390091717,100.731850906
1,68,14.2407921137,100.74063389
1,69,14.2451997143,100.748703308
1,70,14.2496019822,100.756775664
1,71,14.254004703800002,100.764847692
1,72,14.2584116106,100.772917685
1,73,14.2628084195,100.780993192
1,74,14.2671938794,100.789074686
1,75,14.2715838983,100.797153868
1,76,14.2759703967,100.805234947
1,77,14.2807947994,100.812998153
1,78,14.2883288462,100.818268294
1,79,14.2959151256,100.82342648
1,79,14.2959151256,100.82342648
1,79,14.2959151256,100.82342648
1,79,14.2959151256,100.82342648
1,80,14.3034635133,100.828509392
1,80,14.3034635133,100.828509392
1,81,14.310961123399998,100.833721736
1,82,14.3184634528,100.838927352
1,83,14.3259663269,100.844132012
1,84,14.3331113771,100.849769639
1,84,14.3331113771,100.849769639
1,85,14.3378811501,100.857521492
1,85,14.3378811501,100.857521492
1,86,14.3443804157,100.863934301
1,87,14.350907609000002,100.87031944
1,87,14.350907609000002,100.87031944
1,88,14.3578331778,100.876164976
1,89,14.3666991748,100.878317287
1,90,14.3748120902,100.882505606
1,91,14.3831475536,100.886179857
1,92,14.3920897775,100.888010268
1,93,14.4010673951,100.889678111
1,93,14.4010673951,100.889678111
1,93,14.4010673951,100.889678111
1,93,14.4010673951,100.889678111
1,93,14.4010673951,100.889678111
1,93,14.4010673951,100.889678111
1,94,14.4099602455,100.891360589
1,94,14.4099602455,100.891360589
1,94,14.4099602455,100.891360589
1,94,14.4099602455,100.891360589
1,95,14.4188704388,100.893073636
1,95,14.4188704388,100.893073636
1,96,14.4277888774,100.894742717
1,96,14.4277888774,100.894742717
1,97,14.4366948943,100.896475895
1,97,14.4366948943,100.896475895
1,98,14.4452448397,100.899503814
1,98,14.4452448397,100.899503814
1,99,14.4537837166,100.902571337
1,99,14.4537837166,100.902571337
1,100,14.4623187224,100.905650783
1,100,14.4623187224,100.905650783
1,101,14.4708470459,100.908748609
1,101,14.4708470459,100.908748609
1,101,14.4708470459,100.908748609
1,102,14.4793681465,100.911864965
1,102,14.4793681465,100.911864965
1,103,14.487916901300002,100.914901121
1,103,14.487916901300002,100.914901121
1,103,14.487916901300002,100.914901121
1,104,14.4964964124,100.916632997
1,105,14.5051566622,100.917797657
1,106,14.5137402426,100.916130389
1,107,14.5222404151,100.914110957
1,108,14.5307657584,100.912158056
1,109,14.5392880883,100.910146351
1,110,14.54782132,100.908190607
1,111,14.5563619705,100.906255642
1,111,14.5563619705,100.906255642
